NameTitle,CDFirstName,CDLastName,EduBackGround,Career,PartyName
นาย,พงศา,ชูแนม,สำเร็จการศึกษาปริญญาตรี สาขาการพัฒนาชุมชน สถาบันราชภัฎสุราษฎร์ธานี,ข้าราชการป่าไม้ หัวหน้าหน่วยอนุรักษ์และจัดการต้นน้ำ,กรีน
นาย,ชุมพล,ครุฑแก้ว,สำเร็จการศึกษาระดับปริญญาตรีจากคณะวิทยาศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,หัวหน้าพรรคกลาง,กลาง
นาย,ทรรศชล,พงษ์ภควัต,สำเร็จการศึกษาระดับปริญญาตรี บริหารธุรกิจบัณฑิต(การตลาด) คณะบริหารธุรกิจ สาขาวิชาการตลาด มหาวิทยาลัยรามคำแหง,ผู้จัดการ บริษัท WAY Nature & Herb จำกัด,กสิกรไทย
นาย,ธีระ,เจียบุญหยก,สำเร็จการศึกษานิติศาสตร์บัณฑิต มหาวิทยาลัยสุโขทัย,ประธานสภาพลเมืองปัตตานี,คนงานไทย
นาย,ธนพร,ศรียากูล,NULL,นายกสมาคมรัฐศาสตร์แห่งมหาวิทยาลัยเกษตรศาสตร์ ,คนธรรมดาแห่งประเทศไทย
นาย,ปรีดา,บุญเพลิง,NULL,ข้าราชการครู ตำแหน่งผู้ช่วยอาจารย์ใหญ่,ครูไทยเพื่อประชาชน
นาย,สายัณห์,อินทรภักดิ์,สำเร็จการศึกษาคณะนิติศาสตร์ มหาวิทยาลัยรามคำแหง,หัวหน้าพรรคคลองไทย,คลองไทย
นาย,ชิงชัย,มงคลธรรม,สำเร็จการศึกษาระดับปริญญาตรี สาขามนุษยศาสตร์ มหาวิทยาลัยมหาสารคาม,หัวหน้าพรรคความหวังใหม่,ความหวังใหม่
นางสาว,กัญจนา,ศิลปอาชา,สำเร็จการศึกษาระดับปริญญาตรี สถิติศาสตร์บัณฑิต (เกียรตินิยมอันดับ 1 เหรียญทอง) จุฬาลงกรณ์มหาวิทยาลัย,ที่ปรึกษารัฐมนตรีว่าการกระทรวงพัฒนาสังคมและความมั่นคงของมนุษย์,ชาติไทยพัฒนา
นาย,สุวัจน์,ลิปตพัลลภ,สำเร็จการศึกษาระดับปริญญาตรีจากคณะวิศวกรรมศาสตร์ มหาวิทยาลัยเกษตรศาสตร์,รัฐมนตรีว่าการกระทรวงยุติธรรม,ชาติพัฒนา
นาย,วรรณรัตน์,ชาญนุกูล,สำเร็จการศึกษาปริญญาแพทยศาสตร์บัณฑิต จุฬาลงกรณ์มหาวิทยาลัย,ที่ปรึกษาพรรคชาติพัฒนา,ชาติพัฒนา
นาย,เทวัญ,ลิปตพัลลภ,สำเร็จการศึกษาระดับปริญญาตรีนิติศาสตรบัณฑิต จุฬาลงกรณ์มหาวิทยาลัย,ประธานสโมสรนครราชสีมา เอฟซี สโมสรฟุตบอลนครราชสีมา,ชาติพัฒนา
นาย,โกวิทย์,จิรชนานนท์,NULL,ที่ปรึกษาคณะกรรมการบริษัท เอราวัณ ประกันภัย จำกัด (มหาชน) ,ชาติพันธุ์ไทย
นาย,พลศุภรักษ์,ศิริจันทรานนท์,สำเร็จการศึกษาจากสาขาวิชาการจัดการเทคโนโลยี มหาวิทยาลัยราชภัฏมหาสารคาม,นายกเทศมนตรีตำบลเวียงยอง,ชาติพันธุ์ไทย
นาย,ภราดล,พรอำนวย,สำเร็จการศึกษาจากคณะศึกษาศาสตร์ มหาวิทยาลัยเชียงใหม่,นักรณรงค์,ชาติพันธุ์ไทย
