DistrictName,DistrictOfficeName,DistrictOfficeAdd,ZipCode
พระนคร,สำนักงานเขตพระนคร,เลขที่ 78 ซอยสามเสน 3 แขวงวัดสามพระยา เขตพระนคร กรุงเทพมหานคร 10200,10200
ดุสิต,สำนักงานเขตดุสิต,เลขที่ 317 ถนนสุโขทัย แขวงดุสิต เขตดุสิต กรุงเทพมหานคร 10300,10300
หนองจอก,สำนักงานเขตหนองจอก,เลขที่ 16 ถนนเชื่อมสัมพันธ์ แขวงกระทุ่มราย เขตหนองจอก กรุงเทพมหานคร 10530,10530
บางรัก,สำนักงานเขตบางรัก,เลขที่ 5 ถนนนเรศ แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500,10500
บางเขน,สำนักงานเขตบางเขน,เลขที่ 14 หมู่ที่ 3 ถนนพหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220,10220
บางกะปิ,สำนักงานเขตบางกะปิ,เลขที่ 189 ถนนลาดพร้าว แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240,10240
ปทุมวัน,สำนักงานเขตปทุมวัน,เลขที่ 12/1-4 อาคารไทยยานยนตร์ ซอยรองเมือง 5 ถนนจรัสเมือง แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330,10330
ป้อมปราบศัตรูพ่าย,สำนักงานเขตป้อมปราบศัตรูพ่าย,เลขที่ 50 ถนนศุภมิตร แขวงวัดโสมนัส เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100,10100
พระโขนง,สำนักงานเขตพระโขนง,เลขที่ 1792 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร 10260,10260
มีนบุรี,สำนักงานเขตมีนบุรี,เลขที่ 333 ถนนสีหบุรานุกิจ แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,10510
