SubDisName,ElecPlaceName
พระบรมมหาราชวัง,บริเวณที่จอดรถของสำนักงานเขตพระนคร
วังบูรพาภิรมย์,บริเวณที่จอดรถของสำนักงานเขตพระนคร
วัดราชบพิธ,บริเวณที่จอดรถของสำนักงานเขตพระนคร
สำราญราษฎร์,บริเวณที่จอดรถของสำนักงานเขตพระนคร
ศาลเจ้าพ่อเสือ,บริเวณที่จอดรถของสำนักงานเขตพระนคร
เสาชิงช้า,บริเวณที่จอดรถของสำนักงานเขตพระนคร
บวรนิเวศ,บริเวณที่จอดรถของสำนักงานเขตพระนคร
ตลาดยอด,บริเวณที่จอดรถของสำนักงานเขตพระนคร
ชนะสงคราม,บริเวณที่จอดรถของสำนักงานเขตพระนคร
บ้านพานถม,บริเวณที่จอดรถของสำนักงานเขตพระนคร
บางขุนพรหม,บริเวณที่จอดรถของสำนักงานเขตพระนคร
วัดสามพระยา,บริเวณที่จอดรถของสำนักงานเขตพระนคร
ป้อมปราบ,บริเวณสำนักงานเขตป้อมปราบศัตรูพ่าย
วัดเทพศิรินทร์,บริเวณสำนักงานเขตป้อมปราบศัตรูพ่าย
คลองมหานาค,บริเวณสำนักงานเขตป้อมปราบศัตรูพ่าย
บ้านบาตร,บริเวณสำนักงานเขตป้อมปราบศัตรูพ่าย
วัดโสมนัส,บริเวณสำนักงานเขตป้อมปราบศัตรูพ่าย
จักรวรรดิ,บริเวณที่จอดรถของสำนักงานเขตสัมพันธวงศ์
สัมพันธวงศ์,บริเวณที่จอดรถของสำนักงานเขตสัมพันธวงศ์
ตลาดน้อย,บริเวณที่จอดรถของสำนักงานเขตสัมพันธวงศ์
ดุสิต,โรงเรียนสุโขทัย เขตดุสิต
วชิรพยาบาล,โรงเรียนสุโขทัย เขตดุสิต
สวนจิตรลดา,โรงเรียนสุโขทัย เขตดุสิต
สี่แยกมหานาค,โรงเรียนสุโขทัย เขตดุสิต
รองเมือง,โรงเรียนวัดชัยมงคล
วังใหม่,โรงเรียนวัดชัยมงคล
ปทุมวัน,โรงเรียนวัดชัยมงคล
ลุมพินี,โรงเรียนวัดชัยมงคล
มหาพฤฒาราม,ลานจอดรถด้านหลังสำนักงานเขตบางรัก
สีลม,ลานจอดรถด้านหลังสำนักงานเขตบางรัก
สุริยวงศ์,ลานจอดรถด้านหลังสำนักงานเขตบางรัก
บางรัก,ลานจอดรถด้านหลังสำนักงานเขตบางรัก
สี่พระยา,ลานจอดรถด้านหลังสำนักงานเขตบางรัก
ทุ่งวัดดอน,บริเวณสำนักงานเขตสาธร
ยานนาวา,บริเวณสำนักงานเขตสาธร
ทุ่งมหาเมฆ,บริเวณสำนักงานเขตสาธร
บางคอแหลม,ใต้อาคารสงเคราะห์ข้าราชการและลูกจ้างประจำของกรุงเทพมหานคร
วัดพระยาไกร,ใต้อาคารสงเคราะห์ข้าราชการและลูกจ้างประจำของกรุงเทพมหานคร
บางโคล่,ใต้อาคารสงเคราะห์ข้าราชการและลูกจ้างประจำของกรุงเทพมหานคร
ช่องนนทรี,บริเวณสำนักงานเขตยานนาวา
บางโพงพาง,บริเวณสำนักงานเขตยานนาวา
คลองเตย,บริเวณสำนักงานเขตคลองเตย
คลองตัน,บริเวณสำนักงานเขตคลองเตย
พระโขนง,บริเวณสำนักงานเขตคลองเตย
คลองเตยเหนือ,โรงเรียนวัดธาตุทองและบริเวณลานจอดรถวัดธาตุทอง
คลองตันเหนือ,โรงเรียนวัดธาตุทองและบริเวณลานจอดรถวัดธาตุทอง
พระโขนงเหนือ,โรงเรียนวัดธาตุทองและบริเวณลานจอดรถวัดธาตุทอง
ห้วยขวาง,บริเวณสำนักงานเขตห้วยขวาง
บางกะปิ,บริเวณสำนักงานเขตห้วยขวาง
สามเสนนอก,บริเวณสำนักงานเขตห้วยขวาง
ดินแดง,ศูนย์เยาวชนกรุงเทพมหานคร (ไทย-ญี่ปุ่น ดินแดง)
รัชดาภิเษก,ศูนย์เยาวชนกรุงเทพมหานคร (ไทย-ญี่ปุ่น ดินแดง)
ทุ่งพญาไท,บริเวณลานจอดรถอาคารสำนักงานเขตราชเทวี
ถนนพญาไท,บริเวณลานจอดรถอาคารสำนักงานเขตราชเทวี
ถนนเพชรบุรี,บริเวณลานจอดรถอาคารสำนักงานเขตราชเทวี
มักกะสัน,บริเวณลานจอดรถอาคารสำนักงานเขตราชเทวี
สามเสนใน,อาคารลานเอนกประสงค์กรมประชาสัมพันธ์ถนนพระรามหก
พญาไท,อาคารลานเอนกประสงค์กรมประชาสัมพันธ์ถนนพระรามหก
ลาดยาว,ลานโครงการบ๊อกซ์สเปส ด้านหลังสำนักงานเขตจตุจักร
เสนานิคม,ลานโครงการบ๊อกซ์สเปส ด้านหลังสำนักงานเขตจตุจักร
จันทรเกษม,ลานโครงการบ๊อกซ์สเปส ด้านหลังสำนักงานเขตจตุจักร
จอมพล,ลานโครงการบ๊อกซ์สเปส ด้านหลังสำนักงานเขตจตุจักร
จตุจักร,ลานโครงการบ๊อกซ์สเปส ด้านหลังสำนักงานเขตจตุจักร
ถนนนครไชยศรี,โรงเรียนสุโขทัย เขตดุสิต
บางซื่อ,บริเวณสำนักงานเขตบางซื่อ
วงศ์สว่าง,บริเวณสำนักงานเขตบางซื่อ
ลาดพร้าว,บริเวณสำนักงานเขตลาดพร้าว
จรเข้บัว,บริเวณสำนักงานเขตลาดพร้าว
วังทองหลาง,บริเวณสำนักงานเขตวังทองหลาง
สะพานสอง,บริเวณสำนักงานเขตวังทองหลาง
คลองเจ้าคุณสิงห์,บริเวณสำนักงานเขตวังทองหลาง
ทุ่งสองห้อง,บริเวณสำนักงานเขตหลักสี่
ตลาดบางเขน,บริเวณสำนักงานเขตหลักสี่
ลาดยาว,ลานโครงการบ๊อกซ์สเปส ด้านหลังสำนักงานเขตจตุจักร
เสนานิคม,ลานโครงการบ๊อกซ์สเปส ด้านหลังสำนักงานเขตจตุจักร
จันทรเกษม,ลานโครงการบ๊อกซ์สเปส ด้านหลังสำนักงานเขตจตุจักร
สีกัน,เต๊นท์บริเวณลานจอดรถยนต์สำนักงานเขตดอนเมือง ถนนเชิดวุฒากาศ
ดอนเมือง,เต๊นท์บริเวณลานจอดรถยนต์สำนักงานเขตดอนเมือง ถนนเชิดวุฒากาศ
สนามบิน,เต๊นท์บริเวณลานจอดรถยนต์สำนักงานเขตดอนเมือง ถนนเชิดวุฒากาศ
สายไหม,เต๊นท์บริเวณลานจอดรถสำนักงานเขตสายไหม
ออเงิน,เต๊นท์บริเวณลานจอดรถสำนักงานเขตสายไหม
คลองถนน,เต๊นท์บริเวณลานจอดรถสำนักงานเขตสายไหม
อนุสาวรีย์,บริเวณสถานที่จอดรถ สำนักงานเขตบางเขน
ท่าแร้ง,บริเวณสถานที่จอดรถ สำนักงานเขตบางเขน
พลับพลา,บริเวณสำนักงานเขตวังทองหลาง
คลองจั่น,บริเวณโรงเรียนมัธยมบ้านบางกะปิและโรงเรียนบ้านบางกะปิ
หัวหมาก,บริเวณโรงเรียนมัธยมบ้านบางกะปิและโรงเรียนบ้านบางกะปิ
คลองกุ่ม,บริเวณลานจอดรถ สำนักงานเขตบึงกุ่ม
นวมินทร์,บริเวณลานจอดรถ สำนักงานเขตบึงกุ่ม
นวลจันทร์,บริเวณลานจอดรถ สำนักงานเขตบึงกุ่ม
รามอินทรา,เต็นท์สำนักงานเขตคันนายาว
คันนายาว,เต็นท์สำนักงานเขตคันนายาว
มีนบุรี,เต็นท์บริเวณลานจอดรถห้างไทวัสดุถนนรามคำแหง
แสนแสบ,เต็นท์บริเวณลานจอดรถห้างไทวัสดุถนนรามคำแหง
สามวาตะวันตก,บริเวณลานจอดรถ สำนักงานเขตคลองสามวา
สามวาตะวันออก,บริเวณลานจอดรถ สำนักงานเขตคลองสามวา
บางชัน,บริเวณลานจอดรถ สำนักงานเขตคลองสามวา
ทรายกองดิน,บริเวณลานจอดรถ สำนักงานเขตคลองสามวา
ทรายกองดินใต้,บริเวณลานจอดรถ สำนักงานเขตคลองสามวา
กระทุ่มราย,บริเวณลานจอดรถ สำนักงานเขตหนองจอก
หนองจอก,บริเวณลานจอดรถ สำนักงานเขตหนองจอก
คลองสิบ,บริเวณลานจอดรถ สำนักงานเขตหนองจอก
คลองสิบสอง,บริเวณลานจอดรถ สำนักงานเขตหนองจอก
โคกแฝด,บริเวณลานจอดรถ สำนักงานเขตหนองจอก
คู้ฝั่งเหนือ,บริเวณลานจอดรถ สำนักงานเขตหนองจอก
ลำผักชี,บริเวณลานจอดรถ สำนักงานเขตหนองจอก
ลำต้อยติ่ง,บริเวณลานจอดรถ สำนักงานเขตหนองจอก
ลาดกระบัง,บริเวณสำนักงานเขตลาดกระบัง
คลองสองต้นนุ่น,บริเวณสำนักงานเขตลาดกระบัง
คลองสามประเวศ,บริเวณสำนักงานเขตลาดกระบัง
ลำปลาทิว,บริเวณสำนักงานเขตลาดกระบัง
ทับยาว,บริเวณสำนักงานเขตลาดกระบัง
ขุมทอง,บริเวณสำนักงานเขตลาดกระบัง
สะพานสูง,บริเวณสำนักงานเขตสะพานสูง
ราษฎร์พัฒนา,บริเวณสำนักงานเขตสะพานสูง
ทับช้าง,บริเวณสำนักงานเขตสะพานสูง
ประเวศ,บริเวณลานจอดรถ สำนักงานเขตประเวศ
หนองบอน,บริเวณลานจอดรถ สำนักงานเขตประเวศ
ดอกไม้,บริเวณลานจอดรถ สำนักงานเขตประเวศ
พัฒนาการ,บริเวณสำนักงานเขตสวนหลวง
อ่อนนุช,บริเวณสำนักงานเขตสวนหลวง
สวนหลวง,บริเวณสำนักงานเขตสวนหลวง
บางนาเหนือ,บริเวณลานจอดรถ สำนักงานเขตบางนา
บางนาใต้,บริเวณลานจอดรถ สำนักงานเขตบางนา
บางจาก,บริเวณสำนักงานเขตพระโขนง
พระโขนงใต้,บริเวณสำนักงานเขตพระโขนง
วัดอรุณ,บริเวณโรงเรียนทวีธาภิเศก
วัดท่าพระ,บริเวณโรงเรียนทวีธาภิเศก
สมเด็จเจ้าพระยา ,บริเวณสำนักงานเขตคลองสาน
คลองสาน ,บริเวณสำนักงานเขตคลองสาน
บางลำภูล่าง ,บริเวณสำนักงานเขตคลองสาน
คลองต้นไทร,บริเวณสำนักงานเขตคลองสาน
วัดกัลยาณ์,ศูนย์เยาวชนวัดเวฬุราชิณ เขตธนบุรี
หิรัญรูจี,ศูนย์เยาวชนวัดเวฬุราชิณ เขตธนบุรี
บางยี่เรือ,ศูนย์เยาวชนวัดเวฬุราชิณ เขตธนบุรี
ตลาดพลู,ศูนย์เยาวชนวัดเวฬุราชิณ เขตธนบุรี
บุคคโล,ศูนย์เยาวชนวัดเวฬุราชิณ เขตธนบุรี
ดาวคะนอง,ศูนย์เยาวชนวัดเวฬุราชิณ เขตธนบุรี
สำเหร่,ศูนย์เยาวชนวัดเวฬุราชิณ เขตธนบุรี
บางขุนเทียน,ลานอเนกประสงค์สำนักงานเขตจอมทอง
บางค้อ,ลานอเนกประสงค์สำนักงานเขตจอมทอง
บางมด,ลานอเนกประสงค์สำนักงานเขตจอมทอง
จอมทอง,ลานอเนกประสงค์สำนักงานเขตจอมทอง
บางมด,เต็นท์บริเวณสำนักงานเขตทุ่งครุ
ทุ่งครุ,เต็นท์บริเวณสำนักงานเขตทุ่งครุ
ราษฎร์บูรณะ,เต็นท์บริเวณสำนักงานเขตราษฎร์บูรณะ
บางปะกอก,เต็นท์บริเวณสำนักงานเขตราษฎร์บูรณะ
ท่าข้าม,บริเวณสวนพักผ่อนเซ็นทรัลพาร์ค สาขาพระราม 2
แสมดำ,บริเวณสวนพักผ่อนเซ็นทรัลพาร์ค สาขาพระราม 3
