ElecNo,MPNo,PartyName,NameTitle,MPFirstName,MPLastName,PartyStatus
1,1,ไทยศรีวิไลย์,นางสาว,ณัฐปภัสร์,วรธันย์ผาสุข,ยังดำเนินการอยู่
1,2,พลังท้องถิ่นไท,นาย,ธเนษฐ,เศรษฐาวาณิช,ยังดำเนินการอยู่
1,3,ประชาธิปัตย์,นาง,เจิมมาศ,จึงเลิศศิริ,ยังดำเนินการอยู่
1,4,ชาติไทยพัฒนา,นาย,กรีณรงค์,ชาตรี,ยังดำเนินการอยู่
1,5,ประชาชนปฏิรูป,นาง,ดรัณภัทร,วิชชาวุธ,ยังดำเนินการอยู่
1,6,ประชาชาติ,นาย,รวิโชติ,ธำรงนาวาสวัสดิ์,ยังดำเนินการอยู่
1,7,รวมพลังประชาชาติไทย,นาย,เตช,เตชะพัฒน์สิริ,ยังดำเนินการอยู่
1,8,ชาติพัฒนา,นาย,อนุสรณ์,เกษมวรรณ,ยังดำเนินการอยู่
1,9,เพื่อไทย,นางสาว,ลีลาวดี,วัชโรบล,ยังดำเนินการอยู่
1,10,เพื่อชาติ,นาย,ณัฏฐ์พงษ์,ยงใจยุทธ,ยังดำเนินการอยู่
1,11,อนาคตใหม่,นางสาว,นพมาศ,การุญ,ยังดำเนินการอยู่
1,12,รักษ์ผืนป่าประเทศไทย,นาย,กอบชัย,ชยามฤต,ยังดำเนินการอยู่
1,13,ภูมิใจไทย,นาย,ทวีพร,อนุตรพงษ์สกุล,ยังดำเนินการอยู่
1,14,พลังประชารัฐ,นางสาว,กานต์กนิษฐ์,แห้วสันตติ,ยังดำเนินการอยู่
1,15,ประชาภิวัฒน์,นาย,ธนชาต,เมฆวันวรา,ยังดำเนินการอยู่
1,16,เพื่อแผ่นดิน,นาย,วิเชียร,โมไนยกุล,ยังดำเนินการอยู่
1,17,เสรีรวมไทย,ร้อยเอก,วัชราภรณ์,สังวรโยธิน,ยังดำเนินการอยู่
1,18,ประชานิยม,นางสาว,วิสุดา,จงสกุลชัย,ยังดำเนินการอยู่
1,19,ถิ่นกาขาวชาววิไล,นาย,เรียบ,ประทุมฝาง,ยังดำเนินการอยู่
1,20,ภราดรภาพ,นาย,ณัฐพล,หวังชูเชิดกุล,ยังดำเนินการอยู่
1,21,เศรษฐกิจใหม่,นาย,มงคล,เสมอภาพ,ยังดำเนินการอยู่
1,22,มติประชา,นาง,วัลลี,แอสุวรรณ์,ยังดำเนินการอยู่
1,23,แผ่นดินธรรม,จ่าเอก,พิพัฒน์,วงษ์ฤทธิ์,ยังดำเนินการอยู่
1,24,พลังชาติไทย,นาย,หฤษฎ์,หนูเอี่ยม,ยังดำเนินการอยู่
1,25,ครูไทยเพื่อประชาชน,นาย,พงศ์ชิษณุ,พีรดาจิราวัฒน์,ยังดำเนินการอยู่
1,26,มหาชน,นางสาว,พัทธ์ฐิชา,ณิชยรวีพัชร์,ยังดำเนินการอยู่
1,27,พลังศรัทธา,นางสาว,กันญภัทร,นครังสุ,ยังดำเนินการอยู่
1,28,ประชาธรรมไทย,นางสาว,หนึ่งฤทัย,หัสดิน,ยังดำเนินการอยู่
1,29,ภาคีเครือข่ายไทย,นาง,อรุณรัตน์,ศิลปธรรมธาดา,ยังดำเนินการอยู่
1,30,ไทรักธรรม,นาย,ภฤศ,วัฒนธาดากุล,ยังดำเนินการอยู่
2,1,รวมพลังประชาชาติไทย,นาย,ณัฏฐพัชร์,กวินกนกกัลป์,ยังดำเนินการอยู่
2,2,พลังประชารัฐ,นางสาว,พัชรินทร์,ซำศิริพงษ์,ยังดำเนินการอยู่
2,3,ภูมิใจไทย,นางสาว,อุไร,อนันตสิน,ยังดำเนินการอยู่
2,4,ประชาธิปัตย์,นางสาว,อรอนงค์,กาญจนชูศักดิ์,ยังดำเนินการอยู่
2,5,อนาคตใหม่,นางสาว,พัสวี,ภัทรพุทธากร,ยังดำเนินการอยู่
2,6,เสรีรวมไทย,นาง,ชัญญา,บุญเกิด,ยังดำเนินการอยู่
2,7,เพื่อชาติ,นางสาว,ภัทรกันย์,กิจวิชา,ยังดำเนินการอยู่
2,8,ประชาชาติ,นาง,พิมพาภรณ์,พานทอง,ยังดำเนินการอยู่
2,9,พลังประชาธิปไตย,นาย,นพรุจ,วรชิตวุฒิกุล,ยังดำเนินการอยู่
2,10,ไทยรักษาชาติ,หม่อมหลวง,ณัฏฐพล,เทวกุล,ถูกศาลรัฐธรรมนูญสั่งยุบพรรค
2,11,ชาติไทยพัฒนา,นางสาว,ศิรภัสสร,พิเนตร,ยังดำเนินการอยู่
2,12,ประชาชนปฏิรูป,นางสาว,นิธินันท์,นิธิวชิระพงศ์,ยังดำเนินการอยู่
2,13,ชาติพัฒนา,นางสาว,ปุณฐ์นัฐย์ดา,อิสริยาพร,ยังดำเนินการอยู่
2,14,เพื่อแผ่นดิน,นาย,พัชรวีร์,พรหมวงศ์,ยังดำเนินการอยู่
2,15,ประชาภิวัฒน์,นาย,ธีระ,ธรรมลักขณา,ยังดำเนินการอยู่
2,16,ถิ่นกาขาวชาววิไล,นาย,รชต,ตันตระกูล,ยังดำเนินการอยู่
2,17,ภราดรภาพ,นาย,ธนบุรี,วสุธาวาณิช,ยังดำเนินการอยู่
2,18,รักษ์ผืนป่าประเทศไทย,นางสาว,สิริมา,ธารีจารุ,ยังดำเนินการอยู่
2,19,เศรษฐกิจใหม่,นาย,ชัยวัฒน์,ชื่นสุขสันต์,ยังดำเนินการอยู่
2,20,ครูไทยเพื่อประชาชน,นาย,สุรวัชร์,ทองรอด,ยังดำเนินการอยู่
2,21,แผ่นดินธรรม,นาย,เทียนชัย,วงศ์นวภรณ์,ยังดำเนินการอยู่
