ElecNo,SubDisName,DistrictName
1,พระบรมมหาราชวัง,พระนคร
1,วังบูรพาภิรมย์,พระนคร
1,วัดราชบพิธ,พระนคร
1,สำราญราษฎร์,พระนคร
1,ศาลเจ้าพ่อเสือ,พระนคร
1,เสาชิงช้า,พระนคร
1,บวรนิเวศ,พระนคร
1,ตลาดยอด,พระนคร
1,ชนะสงคราม,พระนคร
1,บ้านพานถม,พระนคร
1,บางขุนพรหม,พระนคร
1,วัดสามพระยา,พระนคร
1,ป้อมปราบ,ป้อมปราบศัตรูพ่าย 
1,วัดเทพศิรินทร์,ป้อมปราบศัตรูพ่าย 
1,คลองมหานาค,ป้อมปราบศัตรูพ่าย 
1,บ้านบาตร,ป้อมปราบศัตรูพ่าย 
1,วัดโสมนัส,ป้อมปราบศัตรูพ่าย 
1,จักรวรรดิ,สัมพันธวงศ์ 
1,สัมพันธวงศ์,สัมพันธวงศ์ 
1,ตลาดน้อย,สัมพันธวงศ์ 
1,ดุสิต,ดุสิต
1,วชิรพยาบาล,ดุสิต
1,สวนจิตรลดา,ดุสิต
1,สี่แยกมหานาค,ดุสิต
2,รองเมือง,ปทุมวัน
2,วังใหม่,ปทุมวัน
2,ปทุมวัน,ปทุมวัน
2,ลุมพินี,ปทุมวัน
2,แขวงมหาพฤฒาราม,บางรัก
2,แขวงสีลม,บางรัก
2,แขวงสุริยวงศ์,บางรัก
2,แขวงบางรัก,บางรัก
2,แขวงสี่พระยา,บางรัก
2,แขวงทุ่งวัดดอน,สาทร
2,แขวงยานนาวา,สาทร
2,แขวงทุ่งมหาเมฆ,สาทร
3,บางคอแหลม,บางคลองแหลม
3,วัดพระยาไกร,บางคลองแหลม
3,บางโคล่,บางคลองแหลม
3,ช่องนนทรี,ยานาวา
3,บางโพงพาง,ยานาวา
4,คลองเตย,คลองเตย
4,คลองตัน,คลองเตย
4,พระโขนง,คลองเตย
4,คลองเตยเหนือ,วัฒนา
4,คลองตันเหนือ,วัฒนา
4,พระโขนงเหนือ,วัฒนา
5,ห้วยขวาง,ห้วยขวาง
5,บางกะปิ,ห้วยขวาง
5,สามเสนนอก,ห้วยขวาง
5,ดินแดง,ดินแดง
5,รัชดาภิเษก,ดินแดง
6,ทุ่งพญาไท,ราชเทวี
6,ถนนพญาไท,ราชเทวี
6,ถนนเพชรบุรี,ราชเทวี
6,มักกะสัน,ราชเทวี
6,สามเสนใน,พญาไท
6,พญาไท,พญาไท
6,ลาดยาว,จตุจักร
6,เสนานิคม,จตุจักร
6,จันทรเกษม,จตุจักร
6,จอมพล,จตุจักร
6,จตุจักร,จตุจักร
7,ถนนนครไชยศรี,ดุสิิต
7,บางซื่อ,บางซื่อ
7,วงศ์สว่าง,บางซื่อ
8,ลาดพร้าว,ลาดพร้าว
8,จรเข้บัว,ลาดพร้าว
8,วังทองหลาง,วังทองหลาง
8,สะพานสอง,วังทองหลาง
8,คลองเจ้าคุณสิงห์,วังทองหลาง
9,ทุ่งสองห้อง,หลักสี่
9,ตลาดบางเขน,หลักสี่
9,ลาดยาว,จตุจักร
9,เสนานิคม,จตุจักร
9,จันทรเกษม,จตุจักร
10,สีกัน,ดอนเมือง
10,ดอนเมือง,ดอนเมือง
10,สนามบิน,ดอนเมือง
11,สายไหม,สายไหม
11,ออเงิน,สายไหม
11,คลองถนน,สายไหม
12,อนุสาวรีย์,บางเขน
12,ท่าแร้ง,บางเขน
13,พลับพลา,วังทองหลาง
13,คลองจั่น,บางกะปิ
13,หัวหมาก,บางกะปิ
14,คลองกุ่ม,บึงกุ่ม
14,นวมินทร์,บึงกุ่ม
14,นวลจันทร์,บึงกุ่ม
